time	Distance4	Ax4	Ay4	Vaz4	Steer4	Throttle4	Brake4	Gear4	Speed4	LapTime4	RPM4	Fuel4	Distance5	Ax5	Ay5	Vaz5	Steer5	Throttle5	Brake5	Gear5	Speed5	LapTime5	RPM5	Fuel5	Distance6	Ax6	Ay6	Vaz6	Steer6	Throttle6	Brake6	Gear6	Speed6	LapTime6	RPM6	Fuel6	Distance3	Ax3	Ay3	Vaz3	Steer3	Throttle3	Brake3	Gear3	Speed3	LapTime3	RPM3	Fuel3	Distance8	Ax8	Ay8	Vaz8	Steer8	Throttle8	Brake8	Gear8	Speed8	LapTime8	RPM8	Fuel8	Distance9	Ax9	Ay9	Vaz9	Steer9	Throttle9	Brake9	Gear9	Speed9	LapTime9	RPM9	Fuel9	Distance7	Ax7	Ay7	Vaz7	Steer7	Throttle7	Brake7	Gear7	Speed7	LapTime7	RPM7	Fuel7
2.046000 5783.297363 9.551475 -0.257007 -0.012651 -0.002907 1.000000 0.000000 2.000000 22.234573 2.028000 589.107239 9.171015 5765.719727 11.850533 -0.805792 -0.042976 -0.011182 0.958135 0.000000 1.000000 20.090971 2.028000 731.666199 9.174509 5758.275879 11.456338 -0.692331 -0.020614 0.006272 0.875761 0.000000 1.000000 21.264284 2.028000 848.383301 9.163658 5750.870605 -0.225593 -0.403141 -0.020043 -0.006456 0.100000 0.000000 2.000000 21.164200 2.028000 583.404724 9.167659 5737.856934 12.143710 -0.045191 -0.004529 -0.001351 0.935334 0.000000 1.000000 21.704094 2.028000 833.245361 9.161655 5727.077637 11.827002 -1.098913 -0.050926 -0.011017 0.925520 0.000000 1.000000 20.846241 2.028000 805.220947 9.168331 5720.076172 -0.220969 0.041677 0.008695 0.005746 0.100000 0.000000 2.000000 22.005308 2.028000 565.392700 9.161825 
2.090000 0.329041 9.612809 -0.196239 -0.008759 -0.001877 1.000000 0.000000 2.000000 22.655809 2.072000 600.118408 9.169597 5766.604492 11.815943 -0.833521 -0.043914 -0.011144 0.962925 0.000000 1.000000 20.611053 2.072000 747.769775 9.172894 5759.215332 11.407804 -0.377222 -0.001534 0.009243 0.887657 0.000000 1.000000 21.767286 2.072000 863.524963 9.161847 5751.800781 8.450250 -0.321275 -0.020934 -0.006470 1.000000 0.000000 2.000000 21.258421 2.072000 598.081726 9.167092 5738.814941 12.049779 -0.111662 -0.007111 -0.002207 0.945295 0.000000 1.000000 22.236584 2.072000 848.197205 9.159736 5727.993652 11.783452 -1.075704 -0.048644 -0.010214 0.932992 0.000000 1.000000 21.365322 2.072000 821.614624 9.166571 5721.043457 -0.298234 -4.308966 -0.086773 -0.059240 0.100000 0.000000 2.000000 21.993660 2.072000 561.310730 9.161765 
2.134000 1.327942 9.667698 -0.140095 -0.005757 -0.001136 1.000000 0.000000 2.000000 23.079340 2.116000 611.297302 9.168140 5767.512207 11.775106 -0.865520 -0.044533 -0.011086 0.967697 0.000000 1.000000 21.129442 2.116000 764.065979 9.171248 5760.175781 11.346167 -0.073555 0.014533 0.011047 0.899469 0.000000 1.000000 22.268047 2.116000 878.770020 9.160013 5752.736816 9.215585 -0.404466 -0.023194 -0.006829 1.000000 0.000000 2.000000 21.657776 2.116000 603.459351 9.165730 5739.795898 11.905841 -0.168773 -0.010220 -0.002879 0.967217 0.000000 1.000000 22.763708 2.116000 862.868469 9.157801 5728.933594 11.750197 -1.041826 -0.045570 -0.009279 0.941374 0.000000 1.000000 21.882885 2.116000 838.030090 9.164776 5722.009766 9.544814 -1.663150 -0.156311 -0.043220 1.000000 0.000000 2.000000 22.111626 2.116000 593.338074 9.161077 
2.192000 2.861267 9.737238 -0.083375 -0.002871 -0.000509 1.000000 0.000000 2.000000 23.641520 2.182000 626.006042 9.166166 5768.916016 11.723973 -0.996611 -0.045251 -0.012178 0.974552 0.000000 1.000000 21.810137 2.182000 785.384399 9.169029 5761.656738 -0.154173 0.202470 0.028961 0.009870 0.100000 0.000000 2.000000 22.631922 2.182000 624.158813 9.158839 5754.172852 9.013512 -0.566269 -0.023256 -0.008887 1.000000 0.000000 2.000000 22.183416 2.182000 613.092102 9.163906 5741.311035 -0.050410 -0.462862 -0.011917 -0.005506 0.100000 0.000000 2.000000 23.146368 2.182000 637.248108 9.156503 5730.384277 11.623103 -0.975767 -0.037300 -0.007567 0.974940 0.000000 1.000000 22.560167 2.182000 857.514038 9.162387 5723.479980 10.979846 -2.060050 -0.127068 -0.025427 1.000000 0.000000 2.000000 22.720530 2.182000 598.224609 9.158938 
2.236000 3.906978 9.763978 -0.041887 -0.001177 -0.000076 1.000000 0.000000 2.000000 24.070297 2.226000 637.183472 9.164626 5769.879883 11.680226 -0.848523 -0.041724 -0.009215 0.979249 0.000000 1.000000 22.324558 2.226000 801.512939 9.167313 5762.652832 -0.247345 0.486551 0.031764 0.009864 0.100000 0.000000 2.000000 22.620661 2.226000 617.907288 9.158753 5755.152344 9.051881 -0.597498 -0.024634 -0.009543 1.000000 0.000000 2.000000 22.580204 2.226000 624.717896 9.162483 5742.329590 -0.246134 -0.443239 -0.015629 -0.006022 0.100000 0.000000 2.000000 23.135080 2.226000 631.431213 9.156419 5731.381348 11.500175 -0.920297 -0.033901 -0.007089 0.995828 0.000000 1.000000 23.068119 2.226000 871.373474 9.160557 5724.483887 10.774955 -2.118215 -0.079476 -0.016775 1.000000 0.000000 2.000000 23.200560 2.226000 600.147949 9.157260 
2.276000 4.971615 9.742570 -0.006064 0.000071 0.000285 1.000000 0.000000 2.000000 24.460453 2.270000 647.479065 9.163201 5770.866699 11.642426 -0.878120 -0.041468 -0.009433 0.983730 0.000000 1.000000 22.790491 2.270000 816.131165 9.165726 5763.649902 -0.247518 0.567138 0.032677 0.009449 0.100000 0.000000 2.000000 22.610329 2.270000 612.436768 9.158677 5756.148926 9.110882 -0.646999 -0.026466 -0.010196 1.000000 0.000000 2.000000 22.943140 2.270000 635.930054 9.161155 5743.347656 -0.246916 -0.511255 -0.017321 -0.006885 0.100000 0.000000 2.000000 23.124794 2.270000 626.335327 9.156343 5732.397949 -0.382102 -1.215734 -0.019663 -0.007786 0.100000 0.000000 2.000000 23.279251 2.270000 639.746155 9.159926 5725.509766 10.600760 -1.568961 -0.046638 -0.010615 1.000000 0.000000 2.000000 23.626736 2.270000 608.986389 9.155726 
2.322000 6.055050 9.783237 0.018405 0.001263 0.000488 1.000000 0.000000 2.000000 24.909369 2.314000 659.513000 9.161528 5771.875977 11.601626 -0.894649 -0.041072 -0.009355 0.988346 0.000000 1.000000 23.324528 2.314000 832.853271 9.163869 5764.646484 7.799605 0.460279 0.030900 0.008435 1.000000 0.000000 2.000000 22.630379 2.314000 638.304443 9.158309 5757.164062 9.166072 -0.701892 -0.029562 -0.010707 1.000000 0.000000 2.000000 23.363020 2.314000 648.661133 9.159587 5744.364258 8.665101 -0.497396 -0.021520 -0.008091 1.000000 0.000000 2.000000 23.148800 2.314000 639.139404 9.155962 5733.417480 -0.189961 -0.689276 -0.022220 -0.007019 0.100000 0.000000 2.000000 23.270689 2.314000 633.816101 9.159839 5726.557129 10.508012 -0.897743 -0.022565 -0.004335 1.000000 0.000000 2.000000 24.111412 2.314000 622.148132 9.153934 
2.368000 7.157406 9.796736 0.041330 0.002264 0.000677 1.000000 0.000000 2.000000 25.359211 2.358000 671.274658 9.159822 5772.907227 11.543707 -0.899828 -0.040286 -0.009037 0.993143 0.000000 1.000000 23.856281 2.358000 849.412903 9.161980 5765.649414 10.308813 0.459740 0.032983 0.006970 0.952602 0.000000 2.000000 23.075102 2.358000 661.903259 9.156576 5758.195801 9.227226 -0.780500 -0.032790 -0.011448 1.000000 0.000000 2.000000 23.785643 2.358000 661.046021 9.157979 5745.390137 11.008068 -0.548443 -0.028463 -0.008686 1.000000 0.000000 2.000000 23.626837 2.358000 657.773376 9.154108 5734.437012 -0.188881 -0.483012 -0.021284 -0.005962 0.100000 0.000000 2.000000 23.261440 2.358000 628.117737 9.159751 5727.622559 10.445146 -0.346456 -0.003179 0.001448 1.000000 0.000000 2.000000 24.592791 2.358000 636.202820 9.152105 
2.410000 8.278740 9.807049 0.016965 0.002713 0.000254 1.000000 0.000000 2.000000 25.770432 2.402000 681.993225 9.158234 5773.960938 11.490183 -1.023310 -0.041365 -0.010519 0.999361 0.000000 1.000000 24.339359 2.402000 864.286011 9.160233 5766.671875 10.832396 0.507674 0.028237 0.005127 1.000000 0.000000 2.000000 23.519970 2.402000 666.443237 9.154919 5759.246094 9.276259 -0.861329 -0.035675 -0.012165 1.000000 0.000000 2.000000 24.173811 2.402000 672.072510 9.156477 5746.436523 10.756555 -0.745791 -0.028584 -0.009796 1.000000 0.000000 2.000000 24.085747 2.402000 657.361206 9.152406 5735.458496 8.293406 -0.280081 -0.017791 -0.004621 1.000000 0.000000 2.000000 23.287436 2.402000 641.190552 9.159395 5728.707520 10.390641 0.091576 0.015335 0.006571 1.000000 0.000000 2.000000 25.029610 2.402000 648.246094 9.150414 
2.450000 9.418999 9.814888 -0.026894 0.000598 -0.000586 1.000000 0.000000 2.000000 26.162119 2.446000 692.484497 9.156696 5775.035156 -0.638564 -1.438687 -0.029845 -0.011231 0.100000 0.000000 2.000000 24.572296 2.446000 635.596497 9.159516 5767.715332 10.567134 -3.849644 -0.087178 -0.079060 1.000000 0.000000 2.000000 23.948303 2.446000 671.001770 9.153297 5760.313477 9.317204 -0.954305 -0.038307 -0.013025 1.000000 0.000000 2.000000 24.545263 2.446000 682.493958 9.155017 5747.503906 10.532795 -0.778542 -0.033845 -0.010533 1.000000 0.000000 2.000000 24.510109 2.446000 665.923584 9.150782 5736.486328 10.606562 -0.230425 -0.017198 -0.003267 0.994316 0.000000 2.000000 23.682737 2.446000 661.802612 9.157878 5729.814941 10.333622 0.447831 0.031381 0.010264 1.000000 0.000000 2.000000 25.443506 2.446000 658.800537 9.148787 
